ID	Cited Article	normalized_id	s2_paperId	year	publicationVenue	journal	citationCount	_error
5860	https://www.semanticscholar.org/paper/288ef622fe53317f92ddb66677a7a0b691719c38	288ef622fe53317f92ddb66677a7a0b691719c38	288ef622fe53317f92ddb66677a7a0b691719c38	2011	Pacific Asia Conference on Language, Information and Computation		59	
5862	https://www.semanticscholar.org/paper/04ca48e573c0800fc572f2af1d475dd2645e840a	04ca48e573c0800fc572f2af1d475dd2645e840a	04ca48e573c0800fc572f2af1d475dd2645e840a	2008	Australasian Language Technology Association Workshop		109	
5863	https://doi.org/10.1007/978-3-031-23793-5_34	ddbdacbbc29a89a16ba94e865fbc131b7fcd0cac	ddbdacbbc29a89a16ba94e865fbc131b7fcd0cac	2018	Conference on Intelligent Text Processing and Computational Linguistics		14	
5870	https://www.semanticscholar.org/paper/1403e6b9adf7712c35ae56327d52fe54603b87e1	1403e6b9adf7712c35ae56327d52fe54603b87e1	1403e6b9adf7712c35ae56327d52fe54603b87e1	2021	arXiv.org	ArXiv	245	
5555	https://doi.org/10.1109/IALP.2018.8629151	3e62f682878a739125eae09b78f00db9acbb1078	3e62f682878a739125eae09b78f00db9acbb1078	2018	International Conference on Asian Language Processing	2018 International Conference on Asian Language Processing (IALP)	84	
5708	https://doi.org/10.1109/IALP.2017.8300625	41fa0c318410aa8ee86cd7cf58c9d369fdef3251	41fa0c318410aa8ee86cd7cf58c9d369fdef3251	2017	International Conference on Asian Language Processing	2017 International Conference on Asian Language Processing (IALP)	109	
5720	https://www.semanticscholar.org/paper/c04b9d1996f0178207095d8f47a5c529ee620bdb	c04b9d1996f0178207095d8f47a5c529ee620bdb	c04b9d1996f0178207095d8f47a5c529ee620bdb	2019			1	
5692	https://doi.org/10.3115/1073445.1073478	eb42a490cf4f186d3383c92963817d100afd81e2	eb42a490cf4f186d3383c92963817d100afd81e2	2003	North American Chapter of the Association for Computational Linguistics		3618	
5523	https://www.semanticscholar.org/paper/e0e68cedb8d1cd2643da97fe223b096ad851aa4c	e0e68cedb8d1cd2643da97fe223b096ad851aa4c	e0e68cedb8d1cd2643da97fe223b096ad851aa4c	2016	International Conference on Language Resources and Evaluation		15	
5551	https://www.semanticscholar.org/paper/60b05f32c32519a809f21642ef1eb3eaf3848008	60b05f32c32519a809f21642ef1eb3eaf3848008	60b05f32c32519a809f21642ef1eb3eaf3848008	2004	Annual Meeting of the Association for Computational Linguistics		17392	
